STATE,ZONE,CWA,NAME,STATE_ZONE,TIME_ZONE,FE_AREA,LAT,LON
NM,201,ABQ,Northwest Plateau,NM201,M,nw,36.427,-108.4064
NM,202,ABQ,Chuska Mountains,NM202,M,nw,36.0409,-108.9296
NM,203,ABQ,Far Northwest Highlands,NM203,M,nc,36.6585,-107.1028
NM,204,ABQ,Northwest Highlawends,NM204,M,nc,36.0067,-107.5052
NM,205,ABQ,West Central Plateau,NM205,M,wc,35.0288,-108.817
NM,206,ABQ,West Central Mountains,NM206,M,nc,35.0709,-108.0574
NM,207,ABQ,West Central Highlands,NM207,M,nc,34.9677,-107.3538
NM,208,ABQ,Southwest Mountains,NM208,M,cc,33.8571,-108.317
NM,209,ABQ,San Francisco River Valley,NM209,M,wc,33.509,-108.8601
NM,210,ABQ,Tusas Mountains Including Chama,NM210,M,nc,36.7058,-106.2539
NM,211,ABQ,Jemez Mountains,NM211,M,nc,35.9021,-106.5974
NM,212,ABQ,Glorieta Mesa Including Glorieta Pass,NM212,M,nc,35.516,-105.694
NM,213,ABQ,Northern Sangre de Cristo Mountains,NM213,M,ne,36.7161,-105.3905
NM,214,ABQ,Southern Sangre de Cristo Mountains,NM214,M,nc,35.9865,-105.5998
NM,215,ABQ,East Slopes Sangre de Cristo Mountains,NM215,M,ne,36.2296,-105.1554
NM,216,ABQ,Upper Rio Grande Valley,NM216,M,nc,36.6232,-105.7524
NM,217,ABQ,Espanola Valley,NM217,M,nc,36.1335,-106.0931
NM,218,ABQ,Santa Fe Metro Area,NM218,M,nc,35.5304,-106.1074
NM,219,ABQ,Middle Rio Grande Valley/Albuquerque Metro Area,NM219,M,nc,35.0023,-106.7444
NM,220,ABQ,Lower Rio Grande Valley,NM220,M,cc,33.9223,-106.8008
NM,221,ABQ,Sandia/Manzano Mountains Including Edgewood,NM221,M,nc,34.9556,-106.3043
NM,222,ABQ,Estancia Valley,NM222,M,nc,34.789,-105.9856
NM,223,ABQ,Central Highlands,NM223,M,nc,34.8354,-105.5657
NM,224,ABQ,South Central Highlands,NM224,M,cc,34.1329,-106.1646
NM,225,ABQ,Upper Tularosa Valley,NM225,M,cc,33.6587,-106.0398
NM,226,ABQ,South Central Mountains,NM226,M,cc,33.5868,-105.5869
NM,227,ABQ,Johnson and Bartlett Mesas Including Raton Pass,NM227,M,ne,36.7769,-104.3106
NM,228,ABQ,Far Northeast Highlands,NM228,M,ne,36.256,-104.5899
NM,229,ABQ,Northeast Highlands,NM229,M,ne,35.5317,-105.0208
NM,230,ABQ,Union County,NM230,M,ne,36.4519,-103.4227
NM,231,ABQ,Harding County,NM231,M,ne,35.858,-103.8199
NM,232,ABQ,Eastern San Miguel County,NM232,M,ne,35.4457,-104.2579
NM,233,ABQ,Guadalupe County,NM233,M,ec,34.8633,-104.7907
NM,234,ABQ,Quay County,NM234,M,ec,35.1043,-103.5497
NM,235,ABQ,Curry County,NM235,M,ec,34.5741,-103.3468
NM,236,ABQ,Roosevelt County,NM236,M,ec,34.0213,-103.4802
NM,237,ABQ,De Baca County,NM237,M,ec,34.3424,-104.412
NM,238,ABQ,Chaves County Plains,NM238,M,se,33.498,-104.3114
NM,239,ABQ,Eastern Lincoln County,NM239,M,cc,33.7904,-105.1628
NM,240,ABQ,Southwest Chaves County,NM240,M,se,32.8182,-105.0963
NM,241,ABQ,San Agustin Plains and Adjacent Lowlands,NM241,M,cc,33.9792,-107.5332
MN,39,ABR,Traverse,MN039,C,wc,45.7721,-96.4716
MN,46,ABR,Big Stone,MN046,C,wc,45.4261,-96.411
SD,3,ABR,Corson,SD003,M,nc,45.7087,-101.1969
SD,4,ABR,Campbell,SD004,C,nc,45.7711,-100.0517
SD,5,ABR,McPherson,SD005,C,nc,45.7664,-99.2215
SD,6,ABR,Brown,SD006,C,ne,45.5898,-98.3516
SD,7,ABR,Marshall,SD007,C,ne,45.7586,-97.5986
SD,8,ABR,Roberts,SD008,C,ne,45.6296,-96.9461
SD,9,ABR,Walworth,SD009,C,nc,45.4299,-100.0316
SD,10,ABR,Edmunds,SD010,C,nc,45.4188,-99.2156
SD,11,ABR,Day,SD011,C,ne,45.3672,-97.6075
SD,15,ABR,Dewey,SD015,M,nc,45.1566,-100.8719
SD,16,ABR,Potter,SD016,C,nc,45.0645,-99.9573
SD,17,ABR,Faulk,SD017,C,nc,45.0711,-99.1453
SD,18,ABR,Spink,SD018,C,ne,44.9381,-98.3463
SD,19,ABR,Clark,SD019,C,ne,44.8582,-97.7295
SD,20,ABR,Codington,SD020,C,ne,44.9778,-97.1886
SD,21,ABR,Grant,SD021,C,ne,45.172,-96.7678
SD,22,ABR,Hamlin,SD022,C,ne,44.6737,-97.1883
SD,23,ABR,Deuel,SD023,C,ne,44.76,-96.668
SD,33,ABR,Stanley,SD033,CM,cc,44.4123,-100.7359
SD,34,ABR,Sully,SD034,C,cc,44.7155,-100.1322
SD,35,ABR,Hughes,SD035,C,cc,44.389,-99.9961
SD,36,ABR,Hyde,SD036,C,cc,44.5474,-99.4871
SD,37,ABR,Hand,SD037,C,cc,44.5478,-99.005
SD,45,ABR,Jones,SD045,C,cc,43.9604,-100.6896
SD,48,ABR,Lyman,SD048,C,cc,43.8958,-99.8474
SD,51,ABR,Buffalo,SD051,C,cc,44.0763,-99.205
MD,21,AKQ,Dorchester,MD021,E,se,38.4799,-76.008
MD,22,AKQ,Wicomico,MD022,E,se,38.3737,-75.6193
MD,23,AKQ,Somerset,MD023,E,se,38.1188,-75.7449
MD,24,AKQ,Inland Worcester,MD024,E,se,38.2142,-75.3833
MD,25,AKQ,Maryland Beaches,MD025,E,se,38.251,-75.1598
NC,12,AKQ,Northampton,NC012,E,ne,36.4177,-77.3967
NC,13,AKQ,Hertford,NC013,E,ne,36.359,-76.9838
NC,14,AKQ,Gates,NC014,E,ne,36.4444,-76.7017
NC,15,AKQ,Pasquotank,NC015,E,ne,36.2974,-76.2867
NC,16,AKQ,Camden,NC016,E,ne,36.3902,-76.2101
NC,17,AKQ,Western Currituck,NC017,E,ne,36.4012,-76.034
NC,30,AKQ,Bertie,NC030,E,ne,36.0662,-76.9791
NC,31,AKQ,Chowan,NC031,E,ne,36.1507,-76.608
NC,32,AKQ,Perquimans,NC032,E,ne,36.2069,-76.4419
NC,102,AKQ,Eastern Currituck,NC102,E,ne,36.4001,-75.844
VA,48,AKQ,Fluvanna,VA048,E,cc,37.8419,-78.2774
VA,60,AKQ,Prince Edward,VA060,E,cc,37.2243,-78.4411
VA,61,AKQ,Cumberland,VA061,E,cc,37.512,-78.245
VA,62,AKQ,Goochland,VA062,E,cc,37.722,-77.9164
VA,64,AKQ,Caroline,VA064,E,nc,38.0272,-77.3475
VA,65,AKQ,Mecklenburg,VA065,E,sc,36.6804,-78.3627
VA,66,AKQ,Lunenburg,VA066,E,sc,36.9462,-78.2406
VA,67,AKQ,Nottoway,VA067,E,sc,37.1431,-78.0512
VA,68,AKQ,Amelia,VA068,E,cc,37.336,-77.9761
VA,69,AKQ,Powhatan,VA069,E,cc,37.5502,-77.9152
VA,75,AKQ,Westmoreland,VA075,E,ec,38.1108,-76.8052
VA,75,AKQ,Westmoreland,VA075,E,ec,38.1366,-76.7253
VA,76,AKQ,Richmond,VA076,E,ec,37.8881,-76.7671
VA,76,AKQ,Richmond,VA076,E,ec,37.9429,-76.7249
VA,77,AKQ,Northumberland,VA077,E,ee,37.8863,-76.4228
VA,78,AKQ,Lancaster,VA078,E,ee,37.6779,-76.4808
VA,78,AKQ,Lancaster,VA078,E,ee,37.7371,-76.465
VA,79,AKQ,Brunswick,VA079,E,sc,36.7648,-77.859
VA,80,AKQ,Dinwiddie,VA080,E,sc,37.0759,-77.6323
VA,81,AKQ,Prince George,VA081,E,sc,37.1915,-77.2389
VA,82,AKQ,Charles City,VA082,E,ec,37.2385,-76.9027
VA,82,AKQ,Charles City,VA082,E,ec,37.3565,-77.0613
VA,83,AKQ,New Kent,VA083,E,ec,37.5052,-76.9972
VA,84,AKQ,Gloucester,VA084,E,ee,37.3249,-76.5063
VA,84,AKQ,Gloucester,VA084,E,se,37.4257,-76.5431
VA,85,AKQ,Middlesex,VA085,E,ee,37.6258,-76.4816
VA,85,AKQ,Middlesex,VA085,E,ee,37.6353,-76.5769
VA,86,AKQ,Mathews,VA086,E,ee,37.4368,-76.3444
VA,86,AKQ,Mathews,VA086,E,ee,37.4577,-76.3416
VA,87,AKQ,Greensville,VA087,E,sc,36.6763,-77.559
VA,87,AKQ,Greensville,VA087,E,se,36.6763,-77.559
VA,88,AKQ,Sussex,VA088,E,se,36.9218,-77.2618
VA,89,AKQ,Surry,VA089,E,se,37.1169,-76.8883
VA,90,AKQ,James City,VA090,E,se,37.2088,-76.7412
VA,90,AKQ,James City,VA090,E,se,37.3264,-76.7745
VA,92,AKQ,Southampton,VA092,E,se,36.7199,-77.1038
VA,93,AKQ,Isle of Wight,VA093,E,se,36.9067,-76.7091
VA,95,AKQ,Norfolk/Portsmouth,VA095,E,se,36.8752,-76.2937
VA,95,AKQ,Norfolk/Portsmouth,VA095,E,se,36.8959,-76.3428
VA,96,AKQ,Suffolk,VA096,E,se,36.6926,-76.6417
VA,96,AKQ,Suffolk,VA096,E,se,36.8935,-76.4749
VA,97,AKQ,Chesapeake,VA097,E,se,36.6778,-76.3024
VA,98,AKQ,Virginia Beach,VA098,E,se,36.7494,-76.0571
VA,99,AKQ,Accomack,VA099,E,se,37.7659,-75.6472
VA,100,AKQ,Northampton,VA100,E,ee,37.3566,-75.8995
VA,509,AKQ,Western Louisa,VA509,E,cc,38.0408,-78.1061
VA,510,AKQ,Eastern Louisa,VA510,E,cc,37.9335,-77.8608
VA,511,AKQ,Western Hanover,VA511,E,cc,37.809,-77.5823
VA,512,AKQ,Eastern Hanover,VA512,E,cc,37.4671,-77.2793
VA,513,AKQ,Western Chesterfield,VA513,E,cc,37.3765,-77.5835
VA,514,AKQ,Eastern Chesterfield (Including Col. Heights),VA514,E,cc,37.3765,-77.5835
VA,515,AKQ,Western Henrico (Including the City of Richmond),VA515,E,cc,37.5362,-77.42
VA,515,AKQ,Western Henrico (Including the City of Richmond),VA515,E,cc,37.5293,-77.4754
VA,516,AKQ,Eastern Henrico,VA516,E,cc,37.5362,-77.42
VA,517,AKQ,Western King William,VA517,E,ec,37.7067,-77.0884
VA,518,AKQ,Eastern King William,VA518,E,ec,37.7067,-77.0884
VA,519,AKQ,Western King and Queen,VA519,E,ec,37.7179,-76.8946
VA,520,AKQ,Eastern King and Queen,VA520,E,ec,37.7179,-76.8946
VA,521,AKQ,Western Essex,VA521,E,ec,37.8958,-76.808
VA,522,AKQ,Eastern Essex,VA522,E,ec,37.9426,-76.9518
VA,523,AKQ,York,VA523,E,se,37.2242,-76.5383
VA,523,AKQ,York,VA523,E,se,37.256,-76.5124
VA,524,AKQ,Newport News/Hampton,VA524,e,SE,37.077,-76.5058
VA,525,AKQ,Hampton/Poquoson,VA525,E,se,37.0534,-76.3673
CT,1,ALY,Northern Litchfield,CT001,E,nn,41.8851,-73.2502
CT,13,ALY,Southern Litchfield,CT013,E,nn,41.6344,-73.2368
MA,1,ALY,Northern Berkshire,MA001,E,ww,42.56,-73.1518
MA,25,ALY,Southern Berkshire,MA025,E,ww,42.2158,-73.2511
NY,32,ALY,Northern Herkimer,NY032,E,ee,43.7111,-74.9693
NY,33,ALY,Hamilton,NY033,E,ee,43.6611,-74.4973
NY,38,ALY,Southern Herkimer,NY038,E,ee,43.0923,-74.9549
NY,39,ALY,Southern Fulton,NY039,E,ee,43.0404,-74.4213
NY,40,ALY,Montgomery,NY040,E,ee,42.9023,-74.4397
NY,41,ALY,Northern Saratoga,NY041,E,ec,43.1808,-73.8582
NY,42,ALY,Northern Warren,NY042,E,ec,43.5976,-73.8646
NY,43,ALY,Northern Washington,NY043,E,ec,43.5196,-73.4239
NY,47,ALY,Schoharie,NY047,E,ec,42.5882,-74.4421
NY,48,ALY,Western Schenectady,NY048,E,ec,42.79,-74.1561
NY,49,ALY,Eastern Schenectady,NY049,E,ec,42.8421,-73.9758
NY,50,ALY,Southern Saratoga,NY050,E,ec,42.9413,-73.8768
NY,51,ALY,Western Albany,NY051,E,ec,42.5646,-74.125
NY,52,ALY,Eastern Albany,NY052,E,ec,42.6223,-73.8796
NY,53,ALY,Western Rensselaer,NY053,E,ec,42.7053,-73.6159
NY,54,ALY,Eastern Rensselaer,NY054,E,ec,42.7167,-73.4058
NY,58,ALY,Western Greene,NY058,E,ec,42.257,-74.2376
NY,59,ALY,Eastern Greene,NY059,E,ec,42.312,-73.9147
NY,60,ALY,Western Columbia,NY060,E,ec,42.2451,-73.733
NY,61,ALY,Eastern Columbia,NY061,E,ec,42.2548,-73.536
NY,63,ALY,Western Ulster,NY063,E,ec,41.9216,-74.3795
NY,64,ALY,Eastern Ulster,NY064,E,ec,41.8336,-74.0616
NY,65,ALY,Western Dutchess,NY065,E,ec,41.7716,-73.8457
NY,66,ALY,Eastern Dutchess,NY066,E,ec,41.7574,-73.6193
NY,82,ALY,Northern Fulton,NY082,E,ee,43.1615,-74.4228
NY,83,ALY,Southeast Warren,NY083,E,ec,43.3468,-73.7376
NY,84,ALY,Southern Washington,NY084,E,ec,43.1564,-73.436
VT,13,ALY,Bennington,VT013,E,ss,43.0355,-73.0929
VT,14,ALY,Western Windham,VT014,E,ss,43.0015,-72.7867
VT,15,ALY,Eastern Windham,VT015,E,ss,42.9675,-72.5583
OK,1,AMA,Cimarron,OK001,C,pa,36.7483,-102.5178
OK,2,AMA,Texas,OK002,C,pa,36.7479,-101.49
OK,3,AMA,Beaver,OK003,C,pa,36.7497,-100.4767
TX,1,AMA,Dallam,TX001,C,pa,36.2779,-102.6022
TX,2,AMA,Sherman,TX002,C,pa,36.2777,-101.8935
TX,3,AMA,Hansford,TX003,C,pa,36.2775,-101.3545
TX,4,AMA,Ochiltree,TX004,C,pa,36.2784,-100.8156
TX,5,AMA,Lipscomb,TX005,C,pa,36.2777,-100.2731
TX,6,AMA,Hartley,TX006,C,pa,35.84,-102.6029
TX,7,AMA,Moore,TX007,C,pa,35.8377,-101.8929
TX,8,AMA,Hutchinson,TX008,C,pa,35.84,-101.3547
TX,9,AMA,Roberts,TX009,C,pa,35.8385,-100.8134
TX,10,AMA,Hemphill,TX010,C,pa,35.8376,-100.2705
TX,11,AMA,Oldham,TX011,C,pa,35.405,-102.6029
TX,12,AMA,Potter,TX012,C,pa,35.4013,-101.894
TX,13,AMA,Carson,TX013,C,pa,35.4035,-101.3542
TX,14,AMA,Gray,TX014,C,pa,35.4012,-100.8126
TX,15,AMA,Wheeler,TX015,C,pa,35.4013,-100.2697
TX,16,AMA,Deaf Smith,TX016,C,pa,34.966,-102.6049
TX,17,AMA,Randall,TX017,C,pa,34.9669,-101.9073
TX,18,AMA,Armstrong,TX018,C,pa,34.9649,-101.3574
TX,19,AMA,Donley,TX019,C,pa,34.9654,-100.814
TX,20,AMA,Collingsworth,TX020,C,pa,34.9649,-100.2701
TX,317,AMA,Palo Duro Canyon,TX317,C,pa,34.9436,-101.6778
MI,16,APX,Emmet,MI016,E,nn,45.5205,-84.8905
MI,17,APX,Cheboygan,MI017,E,nn,45.4468,-84.4999
MI,18,APX,Presque Isle,MI018,E,nn,45.3396,-83.9159
MI,20,APX,Leelanau,MI020,E,nn,44.9367,-85.8123
MI,21,APX,Antrim,MI021,E,nn,45.0003,-85.1377
MI,22,APX,Otsego,MI022,E,nn,45.0214,-84.5988
MI,23,APX,Montmorency,MI023,E,nn,45.0275,-84.1273
MI,24,APX,Alpena,MI024,E,nn,45.0347,-83.6285
MI,25,APX,Benzie,MI025,E,nn,44.6395,-86.0158
MI,26,APX,Grand Traverse,MI026,E,nn,44.6709,-85.559
MI,27,APX,Kalkaska,MI027,E,nn,44.6846,-85.0902
MI,28,APX,Crawford,MI028,E,nn,44.6836,-84.6103
MI,29,APX,Oscoda,MI029,E,nn,44.6817,-84.1297
MI,30,APX,Alcona,MI030,E,nn,44.6854,-83.5938
MI,31,APX,Manistee,MI031,E,nn,44.3332,-86.0571
MI,32,APX,Wexford,MI032,E,nn,44.3384,-85.5785
MI,33,APX,Missaukee,MI033,E,nn,44.3373,-85.0947
MI,34,APX,Roscommon,MI034,E,nn,44.3356,-84.6116
MI,35,APX,Ogemaw,MI035,E,nn,44.3349,-84.1266
MI,36,APX,Iosco,MI036,E,nn,44.3559,-83.636
MI,41,APX,Gladwin,MI041,E,nn,43.9906,-84.3882
